Назва,Стан,Категорія,Місцезнаходження,Переможець,"Номер лота","Стартова ціна","Ціна продажу"
"ІПОТЕКА: Гараж, загальною площею 160,3 кв.м., за адресою: Луганська обл., Кремінський р., м. Кремінна, вулиця Совєтська, 11Б","Підписання протоколу",Гаражі/стоянки,"Луганська обл.","Учасник №10",488173,24000.00,40000.00
"Ковер для підлоги, б/в, 1 од","Реєстрація учасників",Декор,"Донецька обл.",,493080,972.50,
"Ковер настінний;б/в; 1 од.","Реєстрація учасників",Декор,"Донецька обл.",,493082,449.50,
"М'які кресла, б/в,2 од.","Реєстрація учасників",Меблі,"Донецька обл.",,493086,2349.00,
"Ковер настінний;б/в; 1 од.","Реєстрація учасників",Декор,"Донецька обл.",,493095,449.50,
"Ковер настінний;б/в; 1 од.","Реєстрація учасників",Декор,"Донецька обл.",,493101,972.50,
"Люстра ,б/в, 1 од.","Реєстрація учасників",Декор,"Донецька обл.",,493106,340.00,
"Люстра ,б/в, 1 од.","Реєстрація учасників",Декор,"Донецька обл.",,493111,340.00,
"Люстра ,б/в, 1 од.","Реєстрація учасників",Декор,"Донецька обл.",,493122,340.00,
"Стіл-тумба,б/в,1 од.","Реєстрація учасників",Меблі,"Донецька обл.",,493129,469.00,
"½ частка нежитлових приміщень № 1-7 (групи приміщень 14-А) загальною площею 82,4 кв.м. в будинку № 21 по вулиці Коновальця Євгена в місті Києві","Реєстрація учасників","Нежитлове приміщення",м.Київ,,493457,488360.00,
"Металеві шафи для переодягання","Реєстрація учасників",Меблі,"Полтавська обл.",,493469,58305.00,
"Товари (планшети, наручні годинники, накопичувачі внутрішні, навушники, мобільні телефони) різних виробників в асортименті, загальною кількістю 92 шт.","Реєстрація учасників","Аукціон із різнотипних товарів","Львівська обл.",,493511,250197.75,
"Однокімнатна квартира, загальною площею 30,5 кв. м., за адресою: Донецька обл., м. Маріуполь, бул. Шевченка, буд. 252, кв. 157","Реєстрація учасників","Житлова нерухомість","Донецька обл.",,490798,248000.00,
"Велосипед ardis чорного кольору у кількості 1 шт","Реєстрація учасників",Інше,"Одеська обл.",,492557,2000.00,
"Стільці офісні в металевому каркасі","Реєстрація учасників",Меблі,"Полтавська обл.",,493460,3114.00,
"Добровільний продаж. Транспортний засіб марки ВАЗ, модель 21144, номер кузову: XTA21144084572826, 2008 року випуску, ДНЗ: AM5293AP","Реєстрація учасників","Легкові автомобілі","Житомирська обл.",,493484,39430.00,
"Товари (годинники, камери, навігатор, портативні принтери, цифровий осцилограф) різних виробників в асортименті загальною кількістю 13 шт.","Реєстрація учасників","Аукціон із різнотипних товарів","Львівська обл.",,493234,141908.00,
"1/4 частка квартири двокімнатної ,загальною площею 56,2 кв.м.,за адресою :Донецька обл.,м.Словянськ,вул.Василевського будинок 28 квартира 132","Реєстрація учасників","Житлова нерухомість","Донецька обл.",,493379,28300.00,
"Рухоме майно, згідно Постанови про опис та арешт майна ( коштів) боржника ВП №60079813 від 26.09.2019, в кількості 6 найменувань","Реєстрація учасників","Аукціон із різнотипних товарів","Львівська обл.",,493456,142404.00,
"Легковий автомобіль ЗАЗ, модель TF69YO державний номер AP1826ВР, 2012 року випуску, колір чорний, № кузову Y6DTF69Y0C0313146","Реєстрація учасників","Легкові автомобілі","Запорізька обл.",,493348,95000.00,
"Автомобіль легковий «PEUGEOT 407», реєстраційний номер DEF126, VIN – код VF36D3FZH21267242, 2006 року випуску","Реєстрація учасників","Легкові автомобілі","Чернігівська обл.",,493481,144073.16,
"Вагони вантажні, залізничні тип цистерна (під перевезення аміаку, оцтової та сірчаної кислоти) у кількості 53 одиниці, б/в","Торги зупинено",Спецтехніка,"Луганська обл.",,477584,8422800.00,
"Електронні ваги Петро ВЕС  Ладога 50ДП-5-3","Реєстрація учасників",Інше,"Полтавська обл.",,493482,1724.00,
"Бензопила ""STIHL MS260/C""","Реєстрація учасників",Інструменти,"Полтавська обл.",,493515,4200.00,
"Транспортний засіб марки SKODA OCTAVIA, шасі (кузов, рама) TMBJT21Z5C2180346, 2012 року випуску, колір - білий, днз ВС1284НС","Реєстрація учасників","Легкові автомобілі","Львівська обл.",,493359,201075.00,
"1/4 частини житлового будинку, загальною площею: 226,30 кв. м., житловою площею 137 кв. м. за адресою Житомирська обл., м. Житомир, провулок Попова, будинок 38","Реєстрація учасників","Житлова нерухомість","Житомирська обл.",,492032,506540.00,
"Ваги механічні «РП 200 ШЗ», інвентарний №11307, б/у","Реєстрація учасників",Інше,"Вінницька обл.",,493471,1120.00,
"Машина Термо-Пак УМТ-МПО П УХЛ 4.2","Реєстрація учасників",Обладнання,"Полтавська обл.",,493463,29640.00,
"Добровільний продаж. Земельна ділянка для індивідуального садівництва КН:3221255500:01:003:0074 заг. пл. 0,1 га,  за адресою: Київська обл., Броварський р-н, Калитянська селищна рада (приватна власність фізичної особи 10 соток)","Реєстрація учасників","Земельні ділянки","Київська обл.",,493526,27000.00,
"Добровільний продаж. Гараж заг. пл. 34,5 кв.м., що належить банку на праві власності і знаходиться за адресою: Житомирська область, м. Овруч, вул. Т. Шевченка, 43м","Реєстрація учасників",Гаражі/стоянки,"Житомирська обл.",,493525,40872.00,
"Капсульні кавоварки т.м Delonghi - 2 шт.","Реєстрація учасників","Мала побутова техніка","Львівська обл.",,493501,12310.00,
"Автозапчастини різних виробників -3 шт.","Реєстрація учасників",Запчастини/аксесуари,"Львівська обл.",,493508,5899.00,
"Легковий транспортний засіб марки VOLKSWAGEN, моделі MULTIVAN, чорного кольору, 2013 року випуску, VIN (номер кузова): WV2ZZZ7HZDH086524, номерний знак АЕ0001АХ","Торги зупинено","Легкові автомобілі","Дніпропетровська обл.",,491758,656625.00,
"Вантажний автомобіль: ГАЗ 3302 414 ЗНГ (бортовий тентований), білого кольору, 2007 р.в, ДНЗ: АН0684СІ, VIN: X9633020072250547 33020070470005","Реєстрація учасників","Вантажні автомобілі","Донецька обл.",,493531,24284.00,
"ІПОТЕКА. Нежитлове приміщення №10,4,  загальною площею 147,1 кв.м., за адресою:  м. Одеса, площа Грецька, 3/4","Торги не відбулися","Нежитлове приміщення","Одеська обл.",,409172,3548000.00,
"ІПОТЕКА. Житловий будинок, загальною площею 41,60 кв.м., та земельна ділянка площею 0,23 га, кадастровий номер 2322184903:06:001:0224 за адресою: Запорізька область, Запорізький район, с. Канівське, вул. Набережна, буд. 8","Підписання протоколу","Житлова нерухомість","Запорізька обл.","Учасник №1",490213,95123.70,95123.70
"Предмет іпотеки. Земельна ділянка, площею 0.0300 га, кадастровий номер: 7320585000:01:001:0392, адреса: Чернівецька обл., Вижницький район, с. Мигове","Підписання протоколу","Земельні ділянки","Чернівецька обл.","Учасник №2",490231,60160.00,60160.00
"ІПОТЕКА. Житловий будинок, заг. пл. 51,4 кв.м. та земельна ділянка площею 0,0398 га, КН 0510300000:00:003:0334, що розташовані за адресою: Вінницька обл., м. Жмеринка, вул. Кошевого, 3","Торги не відбулися","Житлова нерухомість","Вінницька обл.",,490277,237829.60,
"ІПОТЕКА. Трикімнатна квартира, загальною площею 42.30 кв.м., що знаходиться за адресою: Кіровоградська обл., м. Новоукраїнка, вул. Соборна (Леніна), буд. 39, кв. 6","Підписання протоколу","Житлова нерухомість","Кіровоградська обл.","Учасник №1",490295,122636.00,122636.00
"ІПОТЕКА. Земельна ділянка, загальною площею 0,2955га, кадастровий номер 2625885001:01:001:0161 що розташована за адресою: Івано-Франківська область, Тисменицький район, с. Рибне, урочище «Біля трансформатора»","Підписання протоколу","Земельні ділянки","Івано-Франківська обл.","Учасник №1",490302,150131.80,150131.80
"Брухт кольорових металів в складі - кабеля силового ППСРВМ 240 кв.мм - 4 фрагменти довжиною 1,2 м, 1 фрагмент довжиною 0,9 м, 1 фрагмент довжиною 12 м.","Складання акту",Брухт,"Волинська обл.","Учасник №3",491179,5939.25,5939.25
"Прес КД 2126 (40 тонн), 1977 року випуску, інв. №20013 у кількості 1 шт.","Складання акту",Обладнання,"Львівська обл.","Учасник №2",491200,13746.95,13746.95
"Столи фабрики «Трембіта» в кількості 8 шт., б/у","Очікування сплати",Меблі,"Львівська обл.","Учасник №5",491201,7530.00,8888.88
"Крісла фабрики «Трембіта» в кількості 52 шт., б/у","Очікування сплати",Меблі,"Львівська обл.","Учасник №3",491202,12383.50,13333.33
"Транспортний засіб NISSAN QASHQAI, 2019 р. в., № шaci: SJNFDAJ11U2558199, о6'єм двигуна: 1598, синього кольору, вид палива: дизельне, державний реєстраційний номер СВ9300СВ","Складання акту","Легкові автомобілі","Чернігівська обл.","Учасник №4",491149,439555.00,439555.00
"1/2 частка житлового будинку, загальною площею 60.5 кв.м. за адресою: Миколаївська обл; смт. Березнегувате, вул. Енергетиків (Жданова), буд, 20","Очікування сплати","Житлова нерухомість","Миколаївська обл.","Учасник №1",490779,79050.00,79060.00
"Земельна ділянка загальною прощею 2 га, кадастровий номер 4825480800:05:000:0185, яка знаходиться за адресою: Миколаївська область, Первомайський район, Грушівська с/рада","Складання акту","Земельні ділянки","Миколаївська обл.","Учасник №1",491263,83300.00,83300.00
"Автомобіль HYUNDAI Н1 2008 р. в., ДНЗ: ВТ4174АР, номер кузову: KMHWH81JP8U068963","Складання акту","Легкові автомобілі","Херсонська обл.","Учасник №4",490910,85100.00,85100.00
"Паркетна дошка, однополосна (дуб дарк), у кількості 85,00 кв.м., що знаходиться: Закарпатська обл., м. Берегово, вул. Фабрична, 53","Торги не відбулися","Будівельні матеріали","Закарпатська обл.",,491274,34850.00,
"Паркетна дошка, однополосна (дуб миндаль), у кількості 80,00 кв.м., що знаходиться: Закарпатська обл., м. Берегово, вул. Фабрична, 53","Торги не відбулися","Будівельні матеріали","Закарпатська обл.",,491276,32800.00,
"Мастило моторне «Total HLP 46N HYDRAULIKOL ISO VG» у пластмасових ємкостях по 20 л - 6 шт. Мастило моторне «PENRPENNASOL SUPER PACE 5W - 40» у ємкостях по 5 л - 10 шт. Вібраційна машина для трамбування грунту «Ruttelplatte GRP90» 1 шт.","Торги відбулися","Аукціон із різнотипних товарів","Львівська обл.","Учасник №6",491285,23320.00,23320.00
"Човен червоний Фіорд-Бот '' TYPHOON '' 480 в кількості 1 шт., мотор підвісний човновий «MERCURY-55» в кількості 1 шт., кошка в кількості 1 шт.","Складання акту","Водний транспорт","Івано-Франківська обл.","Учасник №13",491301,46655.25,46655.25
"Земельна ділянка загальною площею 0,0822 га, кадастровий номер: 6125582200:01:001:1807, за адресою: Тернопільська область, Чортківський район, с. Горішня Вигнанка","Складання акту","Земельні ділянки","Тернопільська обл.","Учасник №2",491346,35399.00,35399.00
"Легковий автомобіль марки CHERY, модель AMULET, державний номер АЕ1719СІ, VIN: Y6DDA11B68D058094, рік випуску 2008","Складання акту","Легкові автомобілі","Дніпропетровська обл.","Учасник №20",491143,44700.00,44700.00
"Автомобіль легковий ЗАЗ 110206, 2001 року випуску, VIN/шассі-Y6D11020610366991, зеленого кольору, реєстраційний номер 88933КХ","Складання акту","Легкові автомобілі","Дніпропетровська обл.","Учасник №2",491371,14325.00,14325.00
"Комплекс нежитлових будівель та споруд, заг. пл. 548,1 кв.м., за адресою: Дніпропетровська обл., м. Нікополь, вул. Пугачова, буд. 7-А","Складання акту",Будівлі,"Дніпропетровська обл.","Учасник №4",491366,178850.00,178850.00
"Житловий будинок загальною площею 75,1 кв.м. за адресою: Дніпропетровська область, місто Кривий Ріг, вулиця Зарічна, 48","Складання акту","Житлова нерухомість","Дніпропетровська обл.","Учасник №3",491380,213010.00,213010.00
"Двокімнатна квартира, загальною площею 52,97 кв.м., за адресою: м. Запоріжжя, пр. Соборний/Фортечна, буд. 81/49, кв. 110","Складання акту","Житлова нерухомість","Запорізька обл.","Учасник №7",491377,488563.60,488563.60
"Однокімнатна квартира загальною площею 31.8 кв.м. за адресою: м. Полтава, вул. Мазепи Івана (колишня назва Калініна), б. 31, кв. 28","Торги відбулися","Житлова нерухомість","Полтавська обл.","Учасник №1",491384,464610.00,464610.00
"Легковий автомобіль ВАЗ 21043, ДНЗ СА4669ВН, номер кузова: XTA21043020927866, 2002 року випуску, колір білий","Складання акту","Легкові автомобілі","Черкаська обл.","Учасник №7",491402,8500.00,8501.00
"1/2 частка трикімнатної квартири, загальною площею 63,5 кв.м., за адресою м.Харків, вул. Біблика, буд.1-Б, кв.9","Торги відбулися","Житлова нерухомість","Харківська обл.","Учасник №3",491419,277200.00,277200.00
"Рухоме майно в кількості 9 позицій, б/в","Торги не відбулися","Аукціон із різнотипних товарів",м.Київ,,491302,245851.00,
"Пластикат полівінілхлоридний зниженої горючості марка НГП 30-32, загальною вагою 20,25 тонн","Складання акту",Сировина,"Хмельницька обл.","Учасник №1",491360,648000.00,648000.00
" Трансформатор ТМ1600","Очікування сплати",Обладнання,"Житомирська обл.","Учасник №2",491090,146300.00,152152.00
"Мобільний телефон Samsung Galaxy S20+ Cosmic Black 128Gb SM-G985F/DS ІМЕІ: 355362119116403; мобільний телефон Samsung Galaxy S20 + Cosmic Black 128Gb SM-G985F/DS ІМЕІ: 355362119150659; годинник Garmin Hybrid Smartwatch V1VOMOVE 3 0І0-02239-01753759234317","Торги не відбулися","Аукціон із різнотипних товарів","Львівська обл.",,491151,34084.00,
"Автомобіль легковий марки ЗАЗ, модель  FORZA, 2015 року випуску, бежевого кольору, VIN: Y6DAF4854F0028528, ДНЗ АМ4813ВХ","Складання акту","Легкові автомобілі","Житомирська обл.","Учасник №9",491485,39757.50,39757.50
"Металевий човен казанка-1 та двигун MERCURY-10","Складання акту","Водний транспорт","Чернівецька обл.","Учасник №10",490839,28140.00,28140.00
"Розчинник NIPPON у кількості 20 л","Складання акту","Будівельні матеріали","Миколаївська обл.","Учасник №1",491971,2319.75,2319.75
"Мобільний телефон HTC Desire V (IMEI 1: 3527950551427093, IMEI 2: 352795051427101)","Торги не відбулися","Мобільні телефони","Львівська обл.",,491979,143.50,
"Мобільний телефон марки ""Samsung""","Складання акту","Мобільні телефони","Львівська обл.","Учасник №1",492013,75.00,75.00
"Мобільний телефон марки ""Nokia""","Складання акту","Мобільні телефони","Львівська обл.","Учасник №1",492024,50.00,50.00
"Мобільний телефон марки ""Samsung""","Складання акту","Мобільні телефони","Львівська обл.","Учасник №1",492028,50.00,50.00
"Транспортний засіб марки ИЖ, модель 2715011, 1989 року випуску, № куз. ХТК271510К0019073, ДНЗ: ВС3893МЕ, синього кольору, бензин","Складання акту","Вантажні автомобілі","Львівська обл.","Учасник №2",492035,4997.25,4997.25
"Сейф 107","Складання акту",Інше,"Хмельницька обл.","Учасник №1",492078,1487.50,1487.50
"Рекламні щити 47","Складання акту",Інше,"Хмельницька обл.","Учасник №1",492084,862.50,862.50
"Повітряна безопорна лінія електропередач 220 В 61","Складання акту",Інше,"Хмельницька обл.","Учасник №1",492086,693.75,693.75
"2 супутникові тарілки для супутникового телебачення","Складання акту","Аксесуари та інше","Запорізька обл.","Учасник №1",492107,157.50,157.50
"Холодильник для охолодження напоїв","Торги не відбулися","Велика побутова техніка","Кіровоградська обл.",,492106,400.00,
"Холодильник для охолодження напоїв","Торги не відбулися","Велика побутова техніка","Кіровоградська обл.",,492105,400.00,
"Холодильник D200DFSGAC","Торги не відбулися","Велика побутова техніка","Кіровоградська обл.",,492104,300.00,
"Холодильна камера-вітрина","Торги не відбулися","Велика побутова техніка","Кіровоградська обл.",,492103,500.00,
"Датчики тиску YS-1100B у кількості 5 шт., датчики з маркуванням YS G1/4 1803 у кількості 5 шт.","Складання акту",Обладнання,м.Київ,"Учасник №4",492136,3321.00,3321.01
"Бензопила "" Урал ""","Складання акту",Інструменти,"Херсонська обл.","Учасник №1",492152,75.00,75.00
"Обрізки дерев білої акації, об' ємом близько 0,8 м/куб","Складання акту",Сировина,"Херсонська обл.","Учасник №1",492153,18.75,101.00
"Мобільний телефон торгової марки ""NOMI"" IMEI: 353035083247717, 353035083247725 чорно-сірого кольору","Складання акту","Мобільні телефони","Хмельницька обл.","Учасник №1",492181,9.00,9.00
"Мобільний телефон з маркуванням Google Pixel 2 XL, Model G011C, EVIEI 358034087537640, в комплекті з аксесуарами, в заводській упаковці 1 шт. ; новий силіконовий чохол для телефону без маркувань 1 шт.","Очікування сплати","Мобільні телефони","Львівська обл.","Учасник №3",492193,3198.00,3997.50
"Мобільні телефони Motorola, Model XT1929-17, без нанесених номерів IMEI на лотках сім-карти, 2 шт.; перехідники з маркуванням на упаковці FLK7100205201, 5 шт.","Складання акту","Мобільні телефони","Львівська обл.","Учасник №5",492198,4067.25,4067.25
"Бензинові ланцюгові пили у кількості 2 шт.","Очікування сплати",Інструменти,"Миколаївська обл.","Учасник №9",492192,200.00,220.00
"Мобільний телефон марки ""S-TELL"", IMEI1: 356907033687589, IMEI2: 356907033687605, та акумуляторна батарея до нього","Торги не відбулися","Мобільні телефони","Сумська обл.",,492248,150.00,
"Хімічна речовина DESCALEX LIQUID у кількості 50 кг","Торги відбулися","Будівельні матеріали","Миколаївська обл.","Учасник №1",492270,3067.50,3070.00
"Пила циркулярна МАЙСТЕР ДАНИЛО","Торги не відбулися",Інструменти,"Дніпропетровська обл.",,492291,425.84,
"Деревина породи ""Дуб"" та ""Гледічія""","Складання акту",Сировина,"Дніпропетровська обл.","Учасник №3",492292,543.00,543.00
"Бензопила ""КЕДР 4,5-3,0""","Очікування сплати",Інструменти,"Харківська обл.","Учасник №5",489430,300.00,455.00
"Бензопила ""STIHL-18"", б/в","Очікування сплати",Інструменти,"Івано-Франківська обл.","Учасник №1",492129,550.00,577.50
"Бензопила ""GOODLUK Super Saw""","Очікування сплати",Інструменти,"Харківська обл.","Учасник №4",489425,300.00,400.00
"Автомобіль вантажний марки FIAT, модель  DOBLO, 2003 року випуску, білого кольору, VIN/Номер шасі (кузова, рами): ZFA22300005239406, ДНЗ АМ5281ВТ","Очікування сплати","Вантажні автомобілі","Житомирська обл.","Учасник №5",491489,27685.00,30700.00
"Нежитлове приміщення водомаслогрійки А-1, загальною площею 10,8 кв.м., що знаходиться за адресою: Чернігівська обл., Менський р., с. Семенівка, вул. Перемоги, буд. 18 в","Складання акту","Нежитлове приміщення","Чернігівська обл.","Учасник №1",491144,5380.00,5918.00
"Снігоочисник РСТ-6, 1989 р.в., ДНЗ: Т2985ДЦ, VIN:131287","Очікування сплати",Спецтехніка,"Донецька обл.","Учасник №5",491427,28687.50,34712.00
"Планшети Apple iPad, 7th Generation, Wi-Fi, 32GB, Model A2197, нові, в заводській упаковці – 2 шт.","Складання акту","Планшети, електронні книги","Львівська обл.","Учасник №18",491214,15478.00,15478.00
"Мобільні телефони марок: ""Nokia"" без задньої кришки, ""Nokia"", ""Meizu"" без батареї живлення","Очікування сплати","Мобільні телефони","Львівська обл.","Учасник №1",492026,150.00,180.80
"Мобільні телефони марок: ""Nokia"", ""Nokia"", ""Iphone"", ""HTC"", ""Lenovo"", ""Prestigio""","Очікування сплати","Мобільні телефони","Львівська обл.","Учасник №3",492029,225.00,255.58
"Мобільний телефон «Gsmart» IMEI 358710060229145, сім-карта мобільного оператора «Київстар»  та мобільний телефон «Samsung» 355138020221072","Очікування сплати","Мобільні телефони","Хмельницька обл.","Учасник №2",492092,16.50,17.01
"Мобільний телефон марки ""Meizu""","Очікування сплати","Мобільні телефони","Львівська обл.","Учасник №3",491989,275.00,302.50
"Легковий універсал ВАЗ модель 217130, державний номер АР0035ВХ, 2010 року випуску, сірого кольору, кузов № ХТА217130А0018894","Складання акту","Легкові автомобілі","Запорізька обл.","Учасник №2",491381,74274.20,81500.00
"Мобільний телефон марки «Microsoft» модель RM-1073, б/у","Очікування сплати","Мобільні телефони","Волинська обл.","Учасник №7",491907,225.00,281.27
"Причіп марки Степок ХТ, модель 81021, 1993 р.в., АЕ3993 ХМ, ХТ8102100Р0012860/Р0012860","Складання акту",Причепи,"Дніпропетровська обл.","Учасник №1",491995,4250.00,5500.00
"Мобільний телефон Apple Iphone Xs Max, Space Gray, 64GB, Model N A1921 Serial N FFWXR39WKPHC IMEI 357272098082435, новий в заводській упаковці, кількістю 1 шт.","Очікування сплати","Мобільні телефони","Львівська обл.","Учасник №18",491220,15325.00,16244.50
"Надувне плавальне обладнання HELZ CN J1LH22091818 в кількості 1 шт","Очікування сплати",Інше,"Одеська обл.","Учасник №8",492006,4800.00,5521.00
"Трикімнатна квартира, загальною площею 58,6 кв.м., що заходиться за адресою: м.Київ, вул. Анни Ахматової, 3, кв. 42","Складання акту","Житлова нерухомість",м.Київ,"Учасник №1",490130,1209109.70,1380000.00
"Двокімнатна квартира, загальною площею 43,7 кв.м., за адресою: Дніпропетровська область, м. Кам'янське (Дніпродзержинськ), вул. Нікопольська буд. 34, кв. 91","Очікування сплати","Житлова нерухомість","Дніпропетровська обл.","Учасник №6",491373,127585.00,168666.66
"Телефон марки Apple Iphone 11 pro max, колір - midnight green,об'єм пам'яті- 256 gb, MWH72LL/A imei 353890102549166, новий у комплекті з аксесуарами - 1 шт","Очікування сплати","Мобільні телефони","Львівська обл.","Учасник №25",491157,25634.00,29150.00
"Засоби для чищення, пральний порошок в асортименті - 105 шт.","Очікування сплати",Інше,"Волинська обл.","Учасник №9",491942,4185.60,8750.00
"Легковий автомобіль марки TОYOTA модель CAMRY XLE, рік випуску 2005, днз: АЕ6091ІМ, VIN-ST1500097165 / 4T1BF30K85U102118","Складання акту","Легкові автомобілі","Дніпропетровська обл.","Учасник №45",491369,138225.00,174163.50
"Земельна ділянка, кадастровий номер 4822755000:02:000:0235, площею 2,0 га, за адресою: Миколаївська область, Вознесенський район, смт Доманівка","Очікування сплати","Земельні ділянки","Миколаївська обл.","Учасник №1",490880,65800.00,83566.00
"Легковий автомобіль VOLKSWAGEN POLO, 2003 р.в., ДНЗ АР6865ЕН, сірого кольору, кузов (шасі, рама) № WVWZZZ9NZ3D174596","Очікування сплати","Легкові автомобілі","Запорізька обл.","Учасник №54",491473,75514.20,98201.00
"Автомобіль легковий, марки MAZDA, модель 6, тип - седан, 2006 року випуску, колір чорний, д.н.з. ВІ9169АН, VIN JMZGG12F771650883","Складання акту","Легкові автомобілі",м.Київ,"Учасник №39",491394,89301.26,102696.46
"Батут дитячий у кількості 1 шт","Очікування сплати",Інше,"Одеська обл.","Учасник №14",492019,1440.00,3601.00
"Транспортний засіб автомобіль марки HYUNDAI, модель I10, тип - легковий хетчбек-В, 2012 року випуску, колір – червоний, шасі (кузов, рама, коляска) № MALAN51CBCM032320, реєстраційний № АА3898МА","Складання акту","Легкові автомобілі",м.Київ,"Учасник №8",491353,116020.00,128000.00
"Стіл пластиковий, червоного кольору, б/в, в кількості – 4 шт.","Очікування сплати",Меблі,"Закарпатська обл.","Учасник №7",492111,201.00,381.90
"Автомобіль марки ГАЗ 33021, тип вантажний, рік випуску 1999, д.н.з. 088-62ХА, двигун № 40260FX0066859, шасі (рама) № Y6C330210X0000934, кузов № 330200Х0019446","Торги відбулися","Вантажні автомобілі","Харківська обл.","Учасник №17",491418,18850.00,26201.50
"Стілець, б/в, в кількості – 23 шт.","Очікування сплати",Меблі,"Закарпатська обл.","Учасник №5",492110,862.50,2328.92
"Легковий автомобіль: DAEWOO LANOS, сірого кольору, 2007 р.в., ДНЗ: АН9749НІ, VIN: Y6DTF69YD7W307863","Очікування сплати","Легкові автомобілі","Донецька обл.","Учасник №13",491428,27819.50,98759.65
"Легковий автомобіль: Volkswagen  Caravelle (пасажирський), 1989 р.в., білого кольору, ДНЗ: ВВ2307АН, VIN: WV2ZZZ26ZKH113646","Очікування сплати","Легкові автомобілі","Луганська обл.","Учасник №26",491331,9600.00,11077.00
"Автомобіль легковий марки КІА, модель RIO, 2018 року випуску, білого кольору, VIN/Номер шасі (кузова, рами): Z94C241AAJR063711, ДНЗ АМ7802СН","Очікування сплати","Легкові автомобілі","Житомирська обл.","Учасник №42",491481,229192.50,256695.60
"Житловий будинок заг. пл. 107.5 кв.м. та земельна ділянка заг. пл. 0.1 га, к.н. 8000000000:82:312:0009 за адресою: м. Київ, вул. Лаврська, буд. № 28","Очікування сплати","Житлова нерухомість","Дніпропетровська обл.","Учасник №26",490101,5512500.00,16200000.00
"Транспортний засіб GREAT WALL HOVER, рік виробництва: 2007, VIN/номер шасі (кузова, рами): LGWFF3A508B071873, ДНЗ: АВ0119АТ","Торги відбулися","Легкові автомобілі",м.Київ,"Учасник №12",491414,70140.00,120640.80
"ІПОТЕКА. Нежиле приміщення, загальною площею 570,6 кв.м., що знаходиться за адресою: Львівська область, м. Трускавець, вул. Мазепи І., буд. 36","Підписання протоколу","Нежитлове приміщення","Львівська обл.","Учасник №14",490291,810994.00,1897725.96
"Нежитлова будівля рятувально-водолазної станції, загальною площею 51,5 кв.м., що знаходиться за адресою: Тернопільська область, м. Ланівці, вул. Незалежності, 34 А","Очікування сплати",Будівлі,"Тернопільська обл.","Учасник №6",490969,83520.00,211112.00
"Легковий автомобіль марки «AUDI А6», VIN - код WAUZZZ4BX5N010474 , 2004 року, реєстраційний номер LLP534","Торги відбулися","Легкові автомобілі","Чернігівська обл.","Учасник №7",489931,57479.08,116111.00
"ІПОТЕКА. Двокімнатна квартира заг. пл. 48,8 кв.м., за адресою: Дніпропетровська область, м. Кам'янське (кол. назва Дніпродзержинськ), вул. Йосипа Манаєнкова (кол. назва Комунарна), буд. 14, кв. 27","Торги відбулися","Житлова нерухомість","Дніпропетровська обл.","Учасник №12",488592,93400.00,154000.00
"Транспортний засіб HYUNDAI TUCSON, 2007 року випуску, ДНЗ ВН2208ВН, номер кузову: KMHJN81BP7U647943","Складання акту","Легкові автомобілі","Одеська обл.","Учасник №53",489168,56814.00,92610.00
"Акумуляторні батареї торгової марки CSB - 303 шт.","Торги відбулися",Запчастини/аксесуари,"Волинська обл.","Учасник №1",487420,68538.24,70200.00
"Бінокль марки «STEM» 1000 м.","Торги відбулися",Інше,"Чернівецька обл.","Учасник №11",491899,150.00,421.00
"Гумові шини для коліс вантажного транспортного засобу, нові, фірми «BRIDGESTONE» розміром 385x65R22,5 см., 2 штуки","Торги відбулися",Запчастини/аксесуари,"Чернівецька обл.","Учасник №8",490040,17023.50,20178.00
"Легковий автомобіль Nissan X-TRAIL, 2005 р.в., ДНЗ АІ5304АІ, № кузова: JN1NANT30U0103102","Торги відбулися","Легкові автомобілі","Київська обл.","Учасник №35",489763,120123.00,122600.00
"Автомобіль DACIA, модель LOGAN, 2008 р.в., ДНЗ АА8994НК, № кузова UU1KSDAD539843298","Торги відбулися","Легкові автомобілі",м.Київ,"Учасник №60",490700,59294.00,101400.00
"Сміттєвоз марки МАЗ, модель 533702, державний номер АР3115СІ, 2012 року випуску, колір помаранчевий,  шасі (кузов, рама) №Y3M5337A2C0005478","Торги відбулися",Спецтехніка,"Запорізька обл.","Учасник №9",487727,297650.00,297651.00
"Системний блок, маніпуляторна мишка, клавіатура та монітор ""Samsung"" у кількості 1 штука","Торги відбулися",Комп'ютери,"Запорізька обл.","Учасник №2",488869,771.67,1002.00
"Транспортний засіб GREAT WALL HOVER, рік виробництва: 2007, VIN/номер шасі (кузова, рами): LGWFF3A508B071873, ДНЗ: АВ0119АТ","Торги відбулися","Легкові автомобілі",м.Київ,"Учасник №12",491414,70140.00,120640.80
"Вантажний автомобіль MAN 26.293 (Сміттєвоз), кузов WMAT080591M258775, ДНЗ АС6641АЕ, 1998 року випуску, об’єм дизельного двигуна 9973 см³, колір білий","Торги не відбулися",Спецтехніка,"Волинська обл.",,491535,304242.00,
"1/2 частина будинку, площа 64,8 кв.м., ½ частина ділянки, площа 0,25 га, КН: 5121883800:04:001:0334 та ½ частина ділянки, площа 0,3793 га, КН: 5121883800:04:001:0335, за адресою: Одеська обл., Іванівський р-н, с. Руська Слобідка, вул. Чкалова, 18","Торги не відбулися","Житлова нерухомість","Одеська обл.",,491536,366486.75,
